       table_name       |     column_name     |          data_type          | character_maximum_length | is_nullable |        column_default         
------------------------+---------------------+-----------------------------+--------------------------+-------------+-------------------------------
 citations              | id                  | uuid                        |                          | NO          | gen_random_uuid()
 citations              | message_id          | uuid                        |                          | NO          | 
 citations              | document_id         | uuid                        |                          | NO          | 
 citations              | chunk_id            | uuid                        |                          | NO          | 
 citations              | citation_number     | integer                     |                          | NO          | 
 citations              | citation_text       | text                        |                          | YES         | 
 citations              | relevance_score     | numeric                     |                          | YES         | 
 citations              | created_at          | timestamp without time zone |                          | YES         | CURRENT_TIMESTAMP
 conversations          | id                  | uuid                        |                          | NO          | gen_random_uuid()
 conversations          | user_id             | uuid                        |                          | NO          | 
 conversations          | title               | character varying           |                      500 | YES         | 
 conversations          | summary             | text                        |                          | YES         | 
 conversations          | rag_mode            | character varying           |                       50 | YES         | 'balanced'::character varying
 conversations          | category_filter     | ARRAY                       |                          | YES         | 
 conversations          | message_count       | integer                     |                          | YES         | 0
 conversations          | total_tokens        | integer                     |                          | YES         | 0
 conversations          | total_cost_usd      | numeric                     |                          | YES         | 0
 conversations          | created_at          | timestamp without time zone |                          | YES         | CURRENT_TIMESTAMP
 conversations          | last_message_at     | timestamp without time zone |                          | YES         | 
 conversations          | deleted_at          | timestamp without time zone |                          | YES         | 
 document_chunks        | id                  | uuid                        |                          | NO          | gen_random_uuid()
 document_chunks        | chunk_id            | character varying           |                      255 | NO          | 
 document_chunks        | document_id         | uuid                        |                          | NO          | 
 document_chunks        | content             | text                        |                          | NO          | 
 document_chunks        | chunk_index         | integer                     |                          | NO          | 
 document_chunks        | section_title       | character varying           |                      500 | YES         | 
 document_chunks        | hierarchy_path      | ARRAY                       |                          | YES         | 
 document_chunks        | keywords            | ARRAY                       |                          | YES         | 
 document_chunks        | concepts            | ARRAY                       |                          | YES         | 
 document_chunks        | entities            | jsonb                       |                          | YES         | 
 document_chunks        | char_count          | integer                     |                          | YES         | 
 document_chunks        | has_table           | boolean                     |                          | YES         | false
 document_chunks        | has_list            | boolean                     |                          | YES         | false
 document_chunks        | is_complete_unit    | boolean                     |                          | YES         | true
 document_chunks        | retrieval_count     | integer                     |                          | YES         | 0
 document_chunks        | created_at          | timestamp without time zone |                          | YES         | CURRENT_TIMESTAMP
 document_chunks        | updated_at          | timestamp without time zone |                          | YES         | CURRENT_TIMESTAMP
 documents              | id                  | uuid                        |                          | NO          | gen_random_uuid()
 documents              | document_id         | character varying           |                      255 | YES         | 
 documents              | document_name       | character varying           |                      500 | YES         | 
 documents              | filename            | character varying           |                      255 | YES         | 
 documents              | filepath            | character varying           |                      500 | YES         | 
 documents              | source_file         | text                        |                          | YES         | 
 documents              | category            | character varying           |                      100 | NO          | 'Khác'::character varying
 documents              | document_type       | character varying           |                       50 | YES         | 
 documents              | uploaded_by         | uuid                        |                          | YES         | 
 documents              | total_chunks        | integer                     |                          | YES         | 0
 documents              | metadata            | jsonb                       |                          | YES         | 
 documents              | status              | character varying           |                       50 | YES         | 'active'::character varying
 documents              | created_at          | timestamp without time zone |                          | YES         | CURRENT_TIMESTAMP
 documents              | updated_at          | timestamp without time zone |                          | YES         | CURRENT_TIMESTAMP
 feedback               | id                  | uuid                        |                          | NO          | gen_random_uuid()
 feedback               | user_id             | uuid                        |                          | NO          | 
 feedback               | message_id          | uuid                        |                          | NO          | 
 feedback               | feedback_type       | character varying           |                       50 | YES         | 
 feedback               | rating              | integer                     |                          | YES         | 
 feedback               | comment             | text                        |                          | YES         | 
 feedback               | created_at          | timestamp without time zone |                          | YES         | CURRENT_TIMESTAMP
 langchain_pg_embedding | uuid                | uuid                        |                          | NO          | gen_random_uuid()
 langchain_pg_embedding | embedding           | USER-DEFINED                |                          | YES         | 
 langchain_pg_embedding | document            | text                        |                          | YES         | 
 langchain_pg_embedding | cmetadata           | jsonb                       |                          | YES         | 
 langchain_pg_embedding | chunk_id            | uuid                        |                          | YES         | 
 langchain_pg_embedding | created_at          | timestamp without time zone |                          | YES         | CURRENT_TIMESTAMP
 messages               | id                  | uuid                        |                          | NO          | gen_random_uuid()
 messages               | conversation_id     | uuid                        |                          | NO          | 
 messages               | user_id             | uuid                        |                          | NO          | 
 messages               | role                | character varying           |                       20 | NO          | 
 messages               | content             | text                        |                          | NO          | 
 messages               | sources             | jsonb                       |                          | YES         | 
 messages               | processing_time_ms  | integer                     |                          | YES         | 
 messages               | tokens_total        | integer                     |                          | YES         | 
 messages               | feedback_rating     | integer                     |                          | YES         | 
 messages               | created_at          | timestamp without time zone |                          | YES         | CURRENT_TIMESTAMP
 queries                | id                  | uuid                        |                          | NO          | gen_random_uuid()
 queries                | user_id             | uuid                        |                          | YES         | 
 queries                | conversation_id     | uuid                        |                          | YES         | 
 queries                | message_id          | uuid                        |                          | YES         | 
 queries                | query_text          | text                        |                          | NO          | 
 queries                | query_hash          | character varying           |                       64 | YES         | 
 queries                | rag_mode            | character varying           |                       50 | YES         | 
 queries                | categories_searched | ARRAY                       |                          | YES         | 
 queries                | retrieval_count     | integer                     |                          | YES         | 
 queries                | total_latency_ms    | integer                     |                          | YES         | 
 queries                | tokens_total        | integer                     |                          | YES         | 
 queries                | estimated_cost_usd  | numeric                     |                          | YES         | 
 queries                | created_at          | timestamp without time zone |                          | YES         | CURRENT_TIMESTAMP
 user_usage_metrics     | id                  | uuid                        |                          | NO          | gen_random_uuid()
 user_usage_metrics     | user_id             | uuid                        |                          | NO          | 
 user_usage_metrics     | date                | date                        |                          | NO          | 
 user_usage_metrics     | total_queries       | integer                     |                          | YES         | 0
 user_usage_metrics     | total_messages      | integer                     |                          | YES         | 0
 user_usage_metrics     | total_tokens        | bigint                      |                          | YES         | 0
 user_usage_metrics     | total_cost_usd      | numeric                     |                          | YES         | 0
 user_usage_metrics     | categories_accessed | ARRAY                       |                          | YES         | 
 user_usage_metrics     | created_at          | timestamp without time zone |                          | YES         | CURRENT_TIMESTAMP
 users                  | id                  | uuid                        |                          | NO          | gen_random_uuid()
 users                  | email               | character varying           |                      255 | NO          | 
 users                  | username            | character varying           |                      100 | YES         | 
 users                  | password_hash       | character varying           |                      255 | YES         | 
 users                  | full_name           | character varying           |                      255 | YES         | 
 users                  | role                | character varying           |                       50 | YES         | 'user'::character varying
 users                  | oauth_provider      | character varying           |                       50 | YES         | 
 users                  | oauth_id            | character varying           |                      255 | YES         | 
 users                  | preferences         | jsonb                       |                          | YES         | '{}'::jsonb
 users                  | is_active           | boolean                     |                          | YES         | true
 users                  | is_verified         | boolean                     |                          | YES         | false
 users                  | created_at          | timestamp without time zone |                          | YES         | CURRENT_TIMESTAMP
 users                  | updated_at          | timestamp without time zone |                          | YES         | CURRENT_TIMESTAMP
 users                  | deleted_at          | timestamp without time zone |                          | YES         | 
(110 rows)

